No.,Course Code,Course Title,Level/Semester,Department,Credit Unit,Lecturer id
1,ENG 101,Introduction to Literary Studies,100 / 1st,ENGLISH,2,ST / ENG / 106
2,ENG 202,Shakespearean Drama,100 / 1st,ENGLISH,1,ST / ENG / 107
3,ENG 303,American Literature: Colonial to Civil War,100 / 1st,ENGLISH,4,ST / ENG / 108
4,ENG 404,Modern and Contemporary Poetry,100 / 1st,ENGLISH,1,ST / ENG / 109
5,ENG 505,British Literature: Victorian Era,100 / 1st,ENGLISH,4,ST / ENG / 110
6,ENG 606,Introduction to Creative Writing,100 / 1st,ENGLISH,1,ST / ENG / 156
7,ENG 707,Gothic Literature,100 / 2nd,ENGLISH,2,ST / ENG / 157
8,ENG 808,Women Writers,100 / 2nd,ENGLISH,4,ST / ENG / 158
9,ENG 909,Postcolonial Literature,100 / 2nd,ENGLISH,1,ST / ENG / 159
10,ENG 1010,Science Fiction and Fantasy,100 / 2nd,ENGLISH,2,ST / ENG / 160
11,ENG 1111,African American Literature,100 / 2nd,ENGLISH,1,ST / ENG / 106
12,ENG 1212,World Literature in Translation,100 / 2nd,ENGLISH,3,ST / ENG / 107
13,ENG 1313,Literary Theory and Criticism,200 / 1st,ENGLISH,4,ST / ENG / 108
14,ENG 1414,Advanced Composition,200 / 1st,ENGLISH,4,ST / ENG / 109
15,ENG 1515,Comparative Literature,200 / 1st,ENGLISH,3,ST / ENG / 110
16,ENG 1616,Literature and Film,200 / 1st,ENGLISH,2,ST / ENG / 156
17,ENG 1717,Children's Literature,200 / 1st,ENGLISH,3,ST / ENG / 157
18,ENG 1818,Medieval Literature,200 / 1st,ENGLISH,3,ST / ENG / 158
19,ENG 1919,The Short Story,200 / 2nd,ENGLISH,1,ST / ENG / 159
20,ENG 2020,The Graphic Novel,200 / 2nd,ENGLISH,3,ST / ENG / 160
21,ENG 2121,Environmental Literature,200 / 2nd,ENGLISH,3,ST / ENG / 106
22,ENG 2222,Queer Literature,200 / 2nd,ENGLISH,3,ST / ENG / 107
23,ENG 2323,The Novel: Form and Function,200 / 2nd,ENGLISH,2,ST / ENG / 108
24,ENG 2424,Literature of the American West,200 / 2nd,ENGLISH,4,ST / ENG / 109
25,ENG 2525,Early American Literature,300 / 1st,ENGLISH,2,ST / ENG / 110
26,ENG 2626,Literary Journalism,300 / 1st,ENGLISH,2,ST / ENG / 156
27,ENG 2727,Writing for Digital Media,300 / 1st,ENGLISH,4,ST / ENG / 157
28,ENG 2828,Renaissance Literature,300 / 1st,ENGLISH,3,ST / ENG / 158
29,ENG 2929,Modernist Literature,300 / 1st,ENGLISH,4,ST / ENG / 159
30,ENG 3030,Romantic Poetry,300 / 1st,ENGLISH,4,ST / ENG / 160
31,ENG 3131,Literature and Society,300 / 2nd,ENGLISH,2,ST / ENG / 106
32,ENG 3232,The Harlem Renaissance,300 / 2nd,ENGLISH,1,ST / ENG / 107
33,ENG 3333,Ethnic American Literature,300 / 2nd,ENGLISH,3,ST / ENG / 108
34,ENG 3434,Literature of the Great Depression,300 / 2nd,ENGLISH,1,ST / ENG / 109
35,ENG 3535,Creative Nonfiction,300 / 2nd,ENGLISH,1,ST / ENG / 110
36,ENG 3636,Literature of the Fantastic,300 / 2nd,ENGLISH,3,ST / ENG / 156
37,ENG 3737,20th Century British Literature,300 / 2nd,ENGLISH,2,ST / ENG / 157
38,ENG 3838,Advanced Fiction Writing,300 / 2nd,ENGLISH,1,ST / ENG / 158
39,ENG 3939,Young Adult Literature,400 / 1st,ENGLISH,1,ST / ENG / 159
40,ENG 4040,Literary Adaptations,400 / 1st,ENGLISH,2,ST / ENG / 160
41,ENG 4141,Contemporary American Literature,400 / 1st,ENGLISH,4,ST / ENG / 106
42,ENG 4242,Literature and Philosophy,400 / 1st,ENGLISH,3,ST / ENG / 107
43,ENG 4343,Satire and Humor in Literature,400 / 1st,ENGLISH,3,ST / ENG / 108
44,ENG 4444,Literary Landscapes,400 / 1st,ENGLISH,2,ST / ENG / 109
45,ENG 4545,Writing for Social Change,400 / 2nd,ENGLISH,4,ST / ENG / 110
46,ENG 4646,Classical Mythology in Literature,400 / 2nd,ENGLISH,4,ST / ENG / 156
47,ENG 4747,Playwriting,400 / 2nd,ENGLISH,2,ST / ENG / 157
48,ENG 4848,The Bible as Literature,400 / 2nd,ENGLISH,3,ST / ENG / 158
49,ENG 4949,Digital Humanities,400 / 2nd,ENGLISH,3,ST / ENG / 159
50,ENG 5050,Literature and Technology,400 / 2nd,ENGLISH,1,ST / ENG / 160
1,MAT 101,Calculus I,100 / 1st,MATHEMATICS,1,ST / MAT / 101
2,MAT 202,Calculus II,100 / 1st,MATHEMATICS,1,ST / MAT / 102
3,MAT 303,Calculus III,100 / 1st,MATHEMATICS,3,ST / MAT / 103
4,MAT 404,Linear Algebra,100 / 1st,MATHEMATICS,2,ST / MAT / 104
5,MAT 505,Differential Equations,100 / 1st,MATHEMATICS,4,ST / MAT / 105
6,MAT 606,Discrete Mathematics,100 / 1st,MATHEMATICS,3,ST / MAT / 151
7,MAT 707,Abstract Algebra,100 / 2nd,MATHEMATICS,1,ST / MAT / 152
8,MAT 808,Real Analysis,100 / 2nd,MATHEMATICS,3,ST / MAT / 153
9,MAT 909,Complex Analysis,100 / 2nd,MATHEMATICS,2,ST / MAT / 154
10,MAT 1010,Probability and Statistics,100 / 2nd,MATHEMATICS,2,ST / MAT / 155
11,MAT 1111,Numerical Methods,100 / 2nd,MATHEMATICS,3,ST / MAT / 101
12,MAT 1212,Topology,100 / 2nd,MATHEMATICS,4,ST / MAT / 102
13,MAT 1313,Mathematical Logic,200 / 1st,MATHEMATICS,1,ST / MAT / 103
14,MAT 1414,Number Theory,200 / 1st,MATHEMATICS,1,ST / MAT / 104
15,MAT 1515,Combinatorics,200 / 1st,MATHEMATICS,3,ST / MAT / 105
16,MAT 1616,Graph Theory,200 / 1st,MATHEMATICS,3,ST / MAT / 151
17,MAT 1717,Mathematical Modeling,200 / 1st,MATHEMATICS,1,ST / MAT / 152
18,MAT 1818,Applied Mathematics,200 / 1st,MATHEMATICS,3,ST / MAT / 153
19,MAT 1919,History of Mathematics,200 / 2nd,MATHEMATICS,2,ST / MAT / 154
20,MAT 2020,Partial Differential Equations,200 / 2nd,MATHEMATICS,1,ST / MAT / 155
21,MAT 2121,Mathematical Statistics,200 / 2nd,MATHEMATICS,4,ST / MAT / 101
22,MAT 2222,Dynamical Systems,200 / 2nd,MATHEMATICS,2,ST / MAT / 102
23,MAT 2323,Fourier Analysis,200 / 2nd,MATHEMATICS,3,ST / MAT / 103
24,MAT 2424,Non-Euclidean Geometry,200 / 2nd,MATHEMATICS,3,ST / MAT / 104
25,MAT 2525,Game Theory,300 / 1st,MATHEMATICS,3,ST / MAT / 105
26,MAT 2626,Set Theory,300 / 1st,MATHEMATICS,3,ST / MAT / 151
27,MAT 2727,Functional Analysis,300 / 1st,MATHEMATICS,4,ST / MAT / 152
28,MAT 2828,Stochastic Processes,300 / 1st,MATHEMATICS,3,ST / MAT / 153
29,MAT 2929,Financial Mathematics,300 / 1st,MATHEMATICS,2,ST / MAT / 154
30,MAT 3030,Optimization,300 / 1st,MATHEMATICS,1,ST / MAT / 155
31,MAT 3131,Cryptography,300 / 2nd,MATHEMATICS,4,ST / MAT / 101
32,MAT 3232,Computational Algebra,300 / 2nd,MATHEMATICS,3,ST / MAT / 102
33,MAT 3333,Biomathematics,300 / 2nd,MATHEMATICS,4,ST / MAT / 103
34,MAT 3434,Fractals and Chaos,300 / 2nd,MATHEMATICS,3,ST / MAT / 104
35,MAT 3535,Measure Theory,300 / 2nd,MATHEMATICS,3,ST / MAT / 105
