Course Title Code,Student ID,Level / Semester,Department,Course Code,Score,Lecturer ID
1,ENG / 1001,100 / 1st,ENGLISH,ENG 101,45,ST / ENG / 106
1,ENG / 1002,100 / 1st,ENGLISH,ENG 101,63,ST / ENG / 106
1,ENG / 1003,100 / 1st,ENGLISH,ENG 101,62,ST / ENG / 106
1,ENG / 1004,100 / 1st,ENGLISH,ENG 101,96,ST / ENG / 106
1,ENG / 1005,100 / 1st,ENGLISH,ENG 101,49,ST / ENG / 106
1,ENG / 1006,100 / 1st,ENGLISH,ENG 101,40,ST / ENG / 106
1,ENG / 1007,100 / 1st,ENGLISH,ENG 101,54,ST / ENG / 106
1,ENG / 1008,100 / 1st,ENGLISH,ENG 101,90,ST / ENG / 106
1,ENG / 1009,100 / 1st,ENGLISH,ENG 101,71,ST / ENG / 106
1,ENG / 1010,100 / 1st,ENGLISH,ENG 101,74,ST / ENG / 106
1,ENG / 1011,100 / 1st,ENGLISH,ENG 101,78,ST / ENG / 106
1,ENG / 1012,100 / 1st,ENGLISH,ENG 101,36,ST / ENG / 106
1,ENG / 1013,100 / 1st,ENGLISH,ENG 101,68,ST / ENG / 106
1,ENG / 1014,100 / 1st,ENGLISH,ENG 101,66,ST / ENG / 106
1,ENG / 1015,100 / 1st,ENGLISH,ENG 101,68,ST / ENG / 106
1,ENG / 1016,100 / 1st,ENGLISH,ENG 101,93,ST / ENG / 106
1,ENG / 1017,100 / 1st,ENGLISH,ENG 101,69,ST / ENG / 106
1,ENG / 1018,100 / 1st,ENGLISH,ENG 101,67,ST / ENG / 106
1,ENG / 1019,100 / 1st,ENGLISH,ENG 101,21,ST / ENG / 106
1,ENG / 1020,100 / 1st,ENGLISH,ENG 101,84,ST / ENG / 106
1,ENG / 1021,100 / 1st,ENGLISH,ENG 101,51,ST / ENG / 106
1,ENG / 1022,100 / 1st,ENGLISH,ENG 101,79,ST / ENG / 106
1,ENG / 1023,100 / 1st,ENGLISH,ENG 101,57,ST / ENG / 106
1,ENG / 1024,100 / 1st,ENGLISH,ENG 101,74,ST / ENG / 106
1,ENG / 1025,100 / 1st,ENGLISH,ENG 101,67,ST / ENG / 106
1,ENG / 1026,100 / 1st,ENGLISH,ENG 101,84,ST / ENG / 106
1,ENG / 1027,100 / 1st,ENGLISH,ENG 101,45,ST / ENG / 106
1,ENG / 1028,100 / 1st,ENGLISH,ENG 101,49,ST / ENG / 106
1,ENG / 1029,100 / 1st,ENGLISH,ENG 101,63,ST / ENG / 106
1,ENG / 1030,100 / 1st,ENGLISH,ENG 101,68,ST / ENG / 106
1,ENG / 1031,100 / 1st,ENGLISH,ENG 101,75,ST / ENG / 106
1,ENG / 1032,100 / 1st,ENGLISH,ENG 101,58,ST / ENG / 106
1,ENG / 1033,100 / 1st,ENGLISH,ENG 101,41,ST / ENG / 106
1,ENG / 1034,100 / 1st,ENGLISH,ENG 101,79,ST / ENG / 106
1,ENG / 1035,100 / 1st,ENGLISH,ENG 101,54,ST / ENG / 106
1,ENG / 1036,100 / 1st,ENGLISH,ENG 101,49,ST / ENG / 106
1,ENG / 1037,100 / 1st,ENGLISH,ENG 101,90,ST / ENG / 106
1,ENG / 1038,100 / 1st,ENGLISH,ENG 101,89,ST / ENG / 106
1,ENG / 1039,100 / 1st,ENGLISH,ENG 101,40,ST / ENG / 106
1,ENG / 1040,100 / 1st,ENGLISH,ENG 101,82,ST / ENG / 106
1,ENG / 1041,100 / 1st,ENGLISH,ENG 101,53,ST / ENG / 106
1,ENG / 1042,100 / 1st,ENGLISH,ENG 101,52,ST / ENG / 106
1,ENG / 1043,100 / 1st,ENGLISH,ENG 101,51,ST / ENG / 106
1,ENG / 1044,100 / 1st,ENGLISH,ENG 101,89,ST / ENG / 106
1,ENG / 1045,100 / 1st,ENGLISH,ENG 101,51,ST / ENG / 106
1,ENG / 1046,100 / 1st,ENGLISH,ENG 101,65,ST / ENG / 106
1,ENG / 1047,100 / 1st,ENGLISH,ENG 101,56,ST / ENG / 106
1,ENG / 1048,100 / 1st,ENGLISH,ENG 101,48,ST / ENG / 106
1,ENG / 1049,100 / 1st,ENGLISH,ENG 101,65,ST / ENG / 106
1,ENG / 1050,100 / 1st,ENGLISH,ENG 101,57,ST / ENG / 106
1,ENG / 1051,100 / 1st,ENGLISH,ENG 101,41,ST / ENG / 106
1,ENG / 1052,100 / 1st,ENGLISH,ENG 101,58,ST / ENG / 106
1,ENG / 1053,100 / 1st,ENGLISH,ENG 101,64,ST / ENG / 106
1,ENG / 1054,100 / 1st,ENGLISH,ENG 101,53,ST / ENG / 106
1,ENG / 1055,100 / 1st,ENGLISH,ENG 101,65,ST / ENG / 106
1,ENG / 1056,100 / 1st,ENGLISH,ENG 101,73,ST / ENG / 106
1,ENG / 1057,100 / 1st,ENGLISH,ENG 101,64,ST / ENG / 106
1,ENG / 1058,100 / 1st,ENGLISH,ENG 101,44,ST / ENG / 106
1,ENG / 1059,100 / 1st,ENGLISH,ENG 101,75,ST / ENG / 106
1,ENG / 1060,100 / 1st,ENGLISH,ENG 101,89,ST / ENG / 106
1,ENG / 1061,100 / 1st,ENGLISH,ENG 101,48,ST / ENG / 106
1,ENG / 1062,100 / 1st,ENGLISH,ENG 101,66,ST / ENG / 106
1,ENG / 1063,100 / 1st,ENGLISH,ENG 101,59,ST / ENG / 106
1,ENG / 1064,100 / 1st,ENGLISH,ENG 101,42,ST / ENG / 106
1,ENG / 1065,100 / 1st,ENGLISH,ENG 101,73,ST / ENG / 106
